OBJECTID,FID_NOAA_s,Field1,STATION,STATION_NA,ELEVATION,LATITUDE,LONGITUDE,DATE,Jdate,Year,Month,PRCP,SNWD,SNOW,TAVG,TMAX,TMIN,TOBS,COUNTY_NAM,FID_WI_Cou,DNR_REGION,DNR_CNTY_C,COUNTY_N_1,COUNTY_FIP,Area_km2,Area_mile2
97,277,2433425,GHCND:US1WIDA0014,MCFARLAND 0.8 E WI US,271.30000000000,43.01860000000,-89.27850000000,7/17/2008,199,2008,7,0,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,11,South Central Region,13,Dane,25,3204.61020522000,1237.30691768000
98,275,2429663,GHCND:US1WIDA0011,MADISON 4.4 SSW WI US,295.70000000000,43.02550000000,-89.43190000000,5/1/2008,122,2008,5,0,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,11,South Central Region,13,Dane,25,3204.61020522000,1237.30691768000
99,271,2423616,GHCND:US1WIDA0003,MADISON 5.0 SW WI US,314.90000000000,43.03170000000,-89.48310000000,3/29/2007,88,2007,3,2.8,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,11,South Central Region,13,Dane,25,3204.61020522000,1237.30691768000
100,350,2529531,GHCND:US1WIWK0015,WAUKESHA 3.0 E WI US,288.30000000000,43.01960000000,-88.17910000000,4/14/2008,105,2008,4,0,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,7,Southeast Region,68,Waukesha,133,1503.09165531000,580.34693267800
101,167,1750911,GHCND:USC00479046,WEST ALLIS WI US,220.40000000000,43.01750000000,-88.00167000000,7/31/2000,213,2000,7,5.6,0,0,NA,22.20000000000,18.30000000000,18.30000000000,Milwaukee,9,Southeast Region,41,Milwaukee,79,627.91293973700,242.43854144100
102,122,1249207,GHCND:USC00476827,PRAIRIE DU CHIEN WI US,200.60000000000,43.03333000000,-91.15000000000,3/17/1996,77,1996,3,3,NA,38,NA,10.00000000000,-5.00000000000,-5.00000000000,Crawford,12,West Central Region,12,Crawford,23,1550.52553421000,598.66125571300
103,9,91491,GHCND:USC00470273,ARBORETUM UNIVERSITY WIS WI US,263.70000000000,43.04110000000,-89.42860000000,11/11/2011,315,2011,11,0,0,0,NA,3.30000000000,-3.90000000000,-2.20000000000,Dane,11,South Central Region,13,Dane,25,3204.61020522000,1237.30691768000
104,447,2713369,GHCND:US1WIDA0032,MADISON 4.8 WSW WI US,307.20000000000,43.04200000000,-89.46820000000,9/1/2013,244,2013,9,0,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,11,South Central Region,13,Dane,25,3204.61020522000,1237.30691768000
105,347,2525145,GHCND:US1WIWK0010,BROOKFIELD 3.4 SW WI US,282.90000000000,43.03030000000,-88.17120000000,8/23/2007,235,2007,8,21.3,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,7,Southeast Region,68,Waukesha,133,1503.09165531000,580.34693267800
106,589,2794575,GHCND:US1WIWK0037,WAUKESHA 2.0 NNW WI US,282.50000000000,43.03600000000,-88.25960000000,4/8/2014,98,2014,4,9.7,NA,NA,NA,0.00000000000,0.00000000000,0.00000000000,NA,7,Southeast Region,68,Waukesha,133,1503.09165531000,580.34693267800
107,444,2712261,GHCND:US1WIDA0028,MADISON 3.7 SW WI US,297.80000000000,43.04940000000,-89.44820000000,6/5/2013,156,2013,6,1.5,NA,NA,NA,0.00000000000,0.00000000000,0.00000000000,NA,11,South Central Region,13,Dane,25,3204.61020522000,1237.30691768000
108,443,2712119,GHCND:US1WIDA0027,MADISON 4.3 WSW WI US,304.50000000000,43.05330000000,-89.46380000000,5/18/2013,138,2013,5,10.9,NA,NA,NA,0.00000000000,0.00000000000,0.00000000000,NA,11,South Central Region,13,Dane,25,3204.61020522000,1237.30691768000
109,344,2521570,GHCND:US1WIWK0007,BROOKFIELD 1.8 SSE WI US,264.90000000000,43.04160000000,-88.10060000000,7/29/2007,210,2007,7,0,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,7,Southeast Region,68,Waukesha,133,1503.09165531000,580.34693267800
110,34,346651,GHCND:USC00471416,CHARMANY FARM WI US,277.40000000000,43.06028000000,-89.47806000000,3/10/2008,70,2008,3,0,229,0,NA,0.00000000000,0.00000000000,0.00000000000,Dane,11,South Central Region,13,Dane,25,3204.61020522000,1237.30691768000
111,446,2712902,GHCND:US1WIDA0031,DEERFIELD 0.6 N WI US,262.10000000000,43.05960000000,-89.07340000000,8/25/2013,237,2013,8,0,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,11,South Central Region,13,Dane,25,3204.61020522000,1237.30691768000
112,276,2431293,GHCND:US1WIDA0013,MADISON 3.7 WSW WI US,285.00000000000,43.06230000000,-89.45650000000,10/17/2013,290,2013,10,2.3,0,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,11,South Central Region,13,Dane,25,3204.61020522000,1237.30691768000
113,272,2426524,GHCND:US1WIDA0004,MADISON 3.1 WSW WI US,304.50000000000,43.06420000000,-89.44740000000,6/27/2007,178,2007,6,0,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,11,South Central Region,13,Dane,25,3204.61020522000,1237.30691768000
114,372,2571340,GHCND:USC00471062,BROOKFIELD WI US,251.20000000000,43.05167000000,-88.17750000000,10/29/2007,302,2007,10,0,0,0,NA,12.80000000000,1.10000000000,5.60000000000,Waukesha,7,Southeast Region,68,Waukesha,133,1503.09165531000,580.34693267800
115,273,2427140,GHCND:US1WIDA0009,MADISON 3.2 WSW WI US,280.10000000000,43.06800000000,-89.44990000000,3/27/2008,87,2008,3,1.3,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,11,South Central Region,13,Dane,25,3204.61020522000,1237.30691768000
116,581,2787699,GHCND:US1WIWK0022,PEWAUKEE 3.8 WSW WI US,269.40000000000,43.05910000000,-88.31910000000,3/3/2010,62,2010,3,0,127,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,7,Southeast Region,68,Waukesha,133,1503.09165531000,580.34693267800
117,582,2789502,GHCND:US1WIWK0026,OCONOMOWOC 4.5 SE WI US,270.40000000000,43.06320000000,-88.44060000000,5/10/2011,130,2011,5,2,NA,NA,NA,0.00000000000,0.00000000000,0.00000000000,NA,7,Southeast Region,68,Waukesha,133,1503.09165531000,580.34693267800
118,453,2715677,GHCND:US1WIDA0039,MADISON 4.0 W WI US,278.30000000000,43.07740000000,-89.46760000000,8/1/2012,214,2012,8,0,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,11,South Central Region,13,Dane,25,3204.61020522000,1237.30691768000
119,218,2170816,GHCND:USC00471840,COTTAGE GROVE WI US,264.00000000000,43.07694000000,-89.19111000000,3/27/2004,87,2004,3,0,0,0,NA,18.30000000000,0.00000000000,8.30000000000,Dane,11,South Central Region,13,Dane,25,3204.61020522000,1237.30691768000
120,439,2710331,GHCND:US1WIDA0021,MADISON 3.1 W WI US,305.40000000000,43.07900000000,-89.44980000000,6/19/2010,170,2010,6,1,NA,NA,NA,0.00000000000,0.00000000000,0.00000000000,NA,11,South Central Region,13,Dane,25,3204.61020522000,1237.30691768000
121,79,787728,GHCND:USC00474482,LAKE MILLS WI US,259.70000000000,43.07611000000,-88.91167000000,4/23/2004,114,2004,4,0,0,0,NA,12.20000000000,-0.60000000000,4.40000000000,Jefferson,6,South Central Region,28,Jefferson,55,1508.38394286000,582.39029632300
122,611,2807212,GHCND:USC00475471,MIDDLETON WI US,293.20000000000,43.08540000000,-89.51710000000,1/24/2011,24,2011,1,0,203,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,11,South Central Region,13,Dane,25,3204.61020522000,1237.30691768000
123,310,2476407,GHCND:US1WIMW0005,MILWAUKEE 3.2 N WI US,210.30000000000,43.06830000000,-87.90280000000,4/1/2007,91,2007,4,7.4,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,9,Southeast Region,41,Milwaukee,79,627.91293973700,242.43854144100
124,97,989103,GHCND:USC00475474,MILWAUKEE MOUNT MARY COLLEGE WI US,221.30000000000,43.07190000000,-88.02940000000,8/8/2013,220,2013,8,0,NA,NA,NA,28.90000000000,16.10000000000,17.80000000000,Milwaukee,9,Southeast Region,41,Milwaukee,79,627.91293973700,242.43854144100
125,438,2709400,GHCND:US1WIDA0020,COTTAGE GROVE 0.9 WNW WI US,279.80000000000,43.08770000000,-89.22040000000,4/19/2010,109,2010,4,0,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,11,South Central Region,13,Dane,25,3204.61020522000,1237.30691768000
126,278,2435975,GHCND:US1WIDA0015,MIDDLETON 0.9 SSE WI US,285.00000000000,43.09000000000,-89.50000000000,8/1/2008,214,2008,8,0,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,11,South Central Region,13,Dane,25,3204.61020522000,1237.30691768000
127,506,2743730,GHCND:US1WIMW0024,MILWAUKEE 3.6 E WI US,203.60000000000,43.07230000000,-87.89570000000,3/11/2013,70,2013,3,14.2,NA,NA,NA,0.00000000000,0.00000000000,0.00000000000,NA,9,Southeast Region,41,Milwaukee,79,627.91293973700,242.43854144100
128,290,2446940,GHCND:US1WIJF0003,LAKE MILLS 3.6 WNW WI US,260.90000000000,43.08910000000,-88.97650000000,5/1/2007,121,2007,5,0,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,6,South Central Region,28,Jefferson,55,1508.38394286000,582.39029632300
129,624,2826517,GHCND:USR0000WDDG,DODGEVILLE WISCONSIN WI US,384.00000000000,43.10000000000,-90.00000000000,3/17/1997,76,1997,3,NA,NA,NA,4.9,8.90000000000,1.10000000000,0.00000000000,Iowa,8,South Central Region,25,Iowa,49,1987.50006138000,767.37806390300
130,315,2479157,GHCND:US1WIMW0017,MILWAUKEE 2.6 NW WI US,231.00000000000,43.08500000000,-88.00980000000,9/4/2008,248,2008,9,43.2,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,9,Southeast Region,41,Milwaukee,79,627.91293973700,242.43854144100
131,270,2422805,GHCND:US1WIDA0002,MIDDLETON 0.5 E WI US,281.90000000000,43.10220000000,-89.49610000000,8/31/2008,244,2008,8,0,0,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,11,South Central Region,13,Dane,25,3204.61020522000,1237.30691768000
132,585,2792440,GHCND:US1WIWK0033,OCONOMOWOC LAKE 1.0 ESE WI US,274.60000000000,43.09540000000,-88.43470000000,9/28/2013,271,2013,9,0,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,7,Southeast Region,68,Waukesha,133,1503.09165531000,580.34693267800
133,313,2477405,GHCND:US1WIMW0011,MILWAUKEE 3.6 WNW WI US,237.10000000000,43.09170000000,-88.02540000000,8/15/2007,227,2007,8,0,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,9,Southeast Region,41,Milwaukee,79,627.91293973700,242.43854144100
134,109,1114500,GHCND:USC00476200,OCONOMOWOC WI US,260.90000000000,43.10194000000,-88.50333000000,2/23/2000,54,2000,2,0,0,0,NA,11.70000000000,5.60000000000,9.40000000000,Waukesha,7,Southeast Region,68,Waukesha,133,1503.09165531000,580.34693267800
135,348,2525802,GHCND:US1WIWK0011,OCONOMOWOC 1.8 E WI US,274.00000000000,43.10360000000,-88.46190000000,3/7/2009,66,2009,3,0,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,7,Southeast Region,68,Waukesha,133,1503.09165531000,580.34693267800
136,353,2532757,GHCND:US1WIWK0018,OCONOMOWOC 0.2 N WI US,263.30000000000,43.10570000000,-88.49740000000,3/16/2009,75,2009,3,0,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,7,Southeast Region,68,Waukesha,133,1503.09165531000,580.34693267800
137,309,2473179,GHCND:US1WIMW0001,SHOREWOOD 0.6 NW WI US,202.10000000000,43.09780000000,-87.89300000000,3/1/2007,60,2007,3,13.2,152,51,NA,0.00000000000,0.00000000000,0.00000000000,NA,9,Southeast Region,41,Milwaukee,79,627.91293973700,242.43854144100
138,591,2795520,GHCND:US1WIWK0039,OCONOMOWOC 0.6 N WI US,266.10000000000,43.11180000000,-88.49560000000,7/1/2014,182,2014,7,23.9,NA,NA,NA,0.00000000000,0.00000000000,0.00000000000,NA,7,Southeast Region,68,Waukesha,133,1503.09165531000,580.34693267800
139,480,2727361,GHCND:US1WIJF0011,JOHNSON CREEK 3.2 NW WI US,269.70000000000,43.11560000000,-88.81280000000,7/10/2014,191,2014,7,0,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,6,South Central Region,28,Jefferson,55,1508.38394286000,582.39029632300
140,341,2516279,GHCND:US1WIWK0001,OCONOMOWOC 0.8 NW WI US,264.90000000000,43.11290000000,-88.50650000000,3/26/2007,85,2007,3,0,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,7,Southeast Region,68,Waukesha,133,1503.09165531000,580.34693267800
141,311,2476581,GHCND:US1WIMW0008,MILWAUKEE 3.3 NNW WI US,203.00000000000,43.10720000000,-87.99150000000,8/5/2007,217,2007,8,37.1,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,9,Southeast Region,41,Milwaukee,79,627.91293973700,242.43854144100
142,612,2809008,GHCND:USC00475499,MILWAUKEE TIMMERMAN AIRPORT WI US,223.70000000000,43.10860000000,-88.03060000000,5/31/2013,151,2013,5,6.9,NA,NA,NA,28.90000000000,17.20000000000,18.90000000000,Milwaukee,9,Southeast Region,41,Milwaukee,79,627.91293973700,242.43854144100
143,588,2794363,GHCND:US1WIWK0036,OCONOMOWOC 1.2 NNE WI US,264.60000000000,43.11700000000,-88.48390000000,9/14/2014,257,2014,9,0,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,7,Southeast Region,68,Waukesha,133,1503.09165531000,580.34693267800
144,451,2715216,GHCND:US1WIDA0037,MADISON 3.3 NNE WI US,260.30000000000,43.12590000000,-89.36750000000,1/3/2015,3,2015,1,1,10,10,NA,0.00000000000,0.00000000000,0.00000000000,NA,11,South Central Region,13,Dane,25,3204.61020522000,1237.30691768000
145,208,2126924,GHCND:US1WIMW0014,MILWAUKEE 3.6 NNW WI US,206.00000000000,43.11300000000,-87.98730000000,3/26/2011,85,2011,3,0,0,NA,NA,0.00000000000,0.00000000000,0.00000000000,NA,9,Southeast Region,41,Milwaukee,79,627.91293973700,242.43854144100
146,150,1546619,GHCND:USC00478164,STEUBEN 4 SE WI US,309.40000000000,43.13417000000,-90.83722000000,1/1/2005,1,2005,1,10.4,0,0,NA,0.00000000000,0.00000000000,0.00000000000,Crawford,12,West Central Region,12,Crawford,23,1550.52553421000,598.66125571300
147,178,1871731,GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,261.50000000000,43.14056000000,-89.34528000000,2/1/2002,32,2002,2,2.5,76,51,-3.9,-0.60000000000,-7.20000000000,0.00000000000,Dane,11,South Central Region,13,Dane,25,3204.61020522000,1237.30691768000
148,445,2712396,GHCND:US1WIDA0029,MADISON 4.8 NNW WI US,258.80000000000,43.14730000000,-89.40600000000,6/21/2013,172,2013,6,1.5,NA,NA,NA,0.00000000000,0.00000000000,0.00000000000,NA,11,South Central Region,13,Dane,25,3204.61020522000,1237.30691768000
149,583,2789925,GHCND:US1WIWK0029,OCONOMOWOC 4.6 NE WI US,280.40000000000,43.14620000000,-88.42860000000,6/22/2014,173,2014,6,0.3,NA,NA,NA,0.00000000000,0.00000000000,0.00000000000,NA,7,Southeast Region,68,Waukesha,133,1503.09165531000,580.34693267800
150,584,2791399,GHCND:US1WIWK0030,SUSSEX 3.4 W WI US,305.10000000000,43.14420000000,-88.28540000000,7/23/2015,204,2015,7,0,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,7,Southeast Region,68,Waukesha,133,1503.09165531000,580.34693267800
151,258,2398781,GHCND:USW00094994,BOSCOBEL AIRPORT WI US,204.80000000000,43.15611000000,-90.67750000000,1/8/2003,8,2003,1,0,NA,NA,6.1,13.30000000000,-1.10000000000,0.00000000000,Grant,10,South Central Region,22,Grant,43,3056.07235639000,1179.95613362000
152,343,2518621,GHCND:US1WIWK0005,SUSSEX 0.8 NNE WI US,294.10000000000,43.14560000000,-88.21060000000,8/3/2007,215,2007,8,0,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,7,Southeast Region,68,Waukesha,133,1503.09165531000,580.34693267800
153,450,2714885,GHCND:US1WIDA0035,MADISON 5.5 N WI US,264.60000000000,43.15860000000,-89.37280000000,7/30/2014,211,2014,7,0.5,NA,NA,NA,0.00000000000,0.00000000000,0.00000000000,NA,11,South Central Region,13,Dane,25,3204.61020522000,1237.30691768000
154,103,1058961,GHCND:USC00475718,MUSCODA WI US,208.80000000000,43.16667000000,-90.43333000000,8/1/1991,213,1991,8,0,0,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,10,South Central Region,22,Grant,43,3056.07235639000,1179.95613362000
155,234,2258054,GHCND:USC00475189,MAZOMANIE WI US,232.30000000000,43.17080000000,-89.81910000000,5/28/2012,149,2012,5,0,NA,NA,NA,33.90000000000,21.10000000000,24.40000000000,Dane,11,South Central Region,13,Dane,25,3204.61020522000,1237.30691768000
156,592,2795636,GHCND:US1WIWK0041,SUSSEX 2.6 NE WI US,288.30000000000,43.16570000000,-88.18600000000,3/31/2015,90,2015,3,0,NA,NA,NA,0.00000000000,0.00000000000,0.00000000000,NA,7,Southeast Region,68,Waukesha,133,1503.09165531000,580.34693267800
157,291,2449286,GHCND:US1WIJF0004,WATERTOWN 1.1 S WI US,247.80000000000,43.17610000000,-88.72860000000,4/30/2007,120,2007,4,0,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,6,South Central Region,28,Jefferson,55,1508.38394286000,582.39029632300
158,289,2445506,GHCND:US1WIJF0002,WATERTOWN 1.6 ESE WI US,253.00000000000,43.17920000000,-88.69720000000,3/7/2007,66,2007,3,3.3,279,38,NA,0.00000000000,0.00000000000,0.00000000000,NA,6,South Central Region,28,Jefferson,55,1508.38394286000,582.39029632300
159,437,2709153,GHCND:US1WIDA0018,WAUNAKEE 0.6 W WI US,286.20000000000,43.18680000000,-89.46370000000,4/4/2010,94,2010,4,0,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,11,South Central Region,13,Dane,25,3204.61020522000,1237.30691768000
160,163,1702014,GHCND:USC00478919,WATERTOWN WI US,249.90000000000,43.18333000000,-88.73333000000,9/27/1981,270,1981,9,0,0,0,NA,21.10000000000,5.60000000000,9.40000000000,Jefferson,6,South Central Region,28,Jefferson,55,1508.38394286000,582.39029632300
161,406,2675947,GHCND:USC00478910,WATERLOO WI US,245.10000000000,43.18770000000,-88.98440000000,10/20/2015,293,2015,10,0,0,0,NA,23.30000000000,8.90000000000,13.30000000000,Jefferson,6,South Central Region,28,Jefferson,55,1508.38394286000,582.39029632300
162,449,2714724,GHCND:US1WIDA0034,SUN PRAIRIE 0.7 NE WI US,309.10000000000,43.19180000000,-89.22240000000,3/19/2014,78,2014,3,5.3,NA,NA,NA,0.00000000000,0.00000000000,0.00000000000,NA,11,South Central Region,13,Dane,25,3204.61020522000,1237.30691768000
163,242,2301914,GHCND:USC00478329,SUN PRAIRIE 3 W WI US,289.60000000000,43.19361000000,-89.28222000000,1/1/2002,1,2002,1,0,51,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,11,South Central Region,13,Dane,25,3204.61020522000,1237.30691768000
164,518,2749530,GHCND:US1WIOZ0008,MEQUON 3.1 SSW WI US,209.40000000000,43.19380000000,-88.00830000000,4/16/2013,106,2013,4,6.1,NA,NA,NA,0.00000000000,0.00000000000,0.00000000000,NA,15,Southeast Region,46,Ozaukee,89,609.37414880100,235.28067424200
165,183,1935646,GHCND:USW00014921,LONE ROCK TRI CO AIRPORT WI US,218.50000000000,43.21194000000,-90.18139000000,9/7/2008,251,2008,9,2.3,NA,NA,NA,22.80000000000,10.00000000000,0.00000000000,Sauk,17,South Central Region,57,Sauk,111,2196.07768314000,847.91033389700
166,233,2245330,GHCND:USC00474937,LYNXVILLE DAM 9 WI US,192.90000000000,43.21111000000,-91.09917000000,1/26/2004,26,2004,1,0,0,0,NA,-5.60000000000,-8.30000000000,-6.10000000000,Crawford,12,West Central Region,12,Crawford,23,1550.52553421000,598.66125571300
167,60,591161,GHCND:USC00473058,GERMANTOWN WI US,259.10000000000,43.20972000000,-88.12333000000,10/12/2003,285,2003,10,5.6,0,0,NA,24.40000000000,7.80000000000,10.60000000000,Washington,14,Southeast Region,67,Washington,131,1128.18911634000,435.59625311900
168,616,2813318,GHCND:USC00477148,RICHFIELD 3 SSW WI US,299.90000000000,43.21110000000,-88.20910000000,8/6/2010,218,2010,8,0,0,0,NA,0.00000000000,0.00000000000,0.00000000000,Washington,14,Southeast Region,67,Washington,131,1128.18911634000,435.59625311900
169,384,2604896,GHCND:USC00473702,HOLY HILL 2 E WI US,294.10000000000,43.24220000000,-88.28880000000,1/2/2015,2,2015,1,0,0,0,NA,-2.20000000000,-12.80000000000,-12.80000000000,Washington,14,Southeast Region,67,Washington,131,1128.18911634000,435.59625311900
170,401,2659584,GHCND:USC00477576,SAUK CITY WWTP WI US,227.10000000000,43.26190000000,-89.73500000000,9/27/2009,270,2009,9,0,0,0,NA,21.70000000000,10.00000000000,10.00000000000,Sauk,17,South Central Region,57,Sauk,111,2196.07768314000,847.91033389700
171,268,2418167,GHCND:US1WICR0001,GAYS MILLS 6.1 SE WI US,338.00000000000,43.26480000000,-90.75570000000,4/13/2014,103,2014,4,34.3,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,12,West Central Region,12,Crawford,23,1550.52553421000,598.66125571300
172,559,2775087,GHCND:US1WISK0003,SAUK CITY 1.0 NW WI US,235.30000000000,43.28080000000,-89.74340000000,6/19/2010,170,2010,6,0.5,NA,NA,NA,0.00000000000,0.00000000000,0.00000000000,NA,17,South Central Region,57,Sauk,111,2196.07768314000,847.91033389700
173,323,2492602,GHCND:US1WIOZ0005,CEDARBURG 3.7 WSW WI US,267.90000000000,43.27880000000,-88.05660000000,6/21/2008,173,2008,6,2.5,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,15,Southeast Region,46,Ozaukee,89,609.37414880100,235.28067424200
174,10,104193,GHCND:USC00470308,ARLINGTON UNIVERSITY FARM WI US,328.90000000000,43.30000000000,-89.35000000000,3/20/1981,79,1981,3,0,0,0,NA,6.10000000000,-3.30000000000,5.60000000000,Columbia,18,South Central Region,11,Columbia,21,2060.37363906000,795.51470954700
175,373,2574565,GHCND:USC00471304,CEDARBURG 1 E WI US,239.90000000000,43.29500000000,-87.97250000000,10/1/2008,275,2008,10,0,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,15,Southeast Region,46,Ozaukee,89,609.37414880100,235.28067424200
176,123,1261989,GHCND:USC00476838,PRAIRIE DU SAC 2 N WI US,238.00000000000,43.31667000000,-89.73333000000,5/11/1982,131,1982,5,1.778,0,0,NA,25.60000000000,15.60000000000,15.60000000000,Sauk,17,South Central Region,57,Sauk,111,2196.07768314000,847.91033389700
177,59,580195,GHCND:USC00473022,GAYS MILLS WI US,210.00000000000,43.31450000000,-90.84860000000,7/16/2015,197,2015,7,3.6,0,0,NA,22.80000000000,15.00000000000,22.80000000000,Crawford,12,West Central Region,12,Crawford,23,1550.52553421000,598.66125571300
178,376,2582376,GHCND:USC00471681,CLYMAN WI US,274.90000000000,43.31250000000,-88.71972000000,10/1/2007,274,2007,10,13,0,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,16,South Central Region,14,Dodge,27,2348.41224847000,906.72703840000
179,598,2799289,GHCND:US1WIWS0014,HARTFORD 0.9 SSE WI US,317.90000000000,43.31070000000,-88.38430000000,8/9/2015,221,2015,8,0,NA,NA,NA,0.00000000000,0.00000000000,0.00000000000,NA,14,Southeast Region,67,Washington,131,1128.18911634000,435.59625311900
180,391,2626300,GHCND:USC00474790,LODI WI US,251.20000000000,43.32160000000,-89.53110000000,2/1/2015,32,2015,2,7.6,76,64,NA,0.60000000000,-10.00000000000,-10.00000000000,Columbia,18,South Central Region,11,Columbia,21,2060.37363906000,795.51470954700
181,267,2416823,GHCND:US1WICB0001,COLUMBUS 1.2 S WI US,262.10000000000,43.31890000000,-89.02680000000,7/30/2008,212,2008,7,4.6,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,18,South Central Region,11,Columbia,21,2060.37363906000,795.51470954700
182,322,2489436,GHCND:US1WIOZ0001,CEDARBURG 0.8 NNE WI US,252.10000000000,43.30850000000,-87.98480000000,8/19/2013,231,2013,8,0,0,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,15,Southeast Region,46,Ozaukee,89,609.37414880100,235.28067424200
183,381,2593942,GHCND:USC00473198,GRAFTON WWTP WI US,225.90000000000,43.30800000000,-87.95520000000,2/7/2012,38,2012,2,0,0,0,NA,5.60000000000,-1.70000000000,-1.10000000000,Ozaukee,15,Southeast Region,46,Ozaukee,89,609.37414880100,235.28067424200
184,363,2550912,GHCND:US1WIWS0002,JACKSON 0.5 SSE WI US,273.10000000000,43.31440000000,-88.16170000000,7/26/2007,207,2007,7,8.6,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,14,Southeast Region,67,Washington,131,1128.18911634000,435.59625311900
185,605,2800528,GHCND:USC00471790,COLUMBUS WI US,252.70000000000,43.32610000000,-89.00810000000,12/1/2013,335,2013,12,0,0,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,16,South Central Region,14,Dodge,27,2348.41224847000,906.72703840000
186,133,1363315,GHCND:USC00477158,RICHLAND CENTER WI US,221.90000000000,43.33140000000,-90.38880000000,9/15/2011,258,2011,9,0,0,0,NA,14.40000000000,1.10000000000,1.10000000000,Richland,13,South Central Region,53,Richland,103,1524.95836684000,588.78971720300
187,386,2611693,GHCND:USC00473930,JACKSON WI US,275.20000000000,43.31940000000,-88.16800000000,5/28/2014,148,2014,5,2,NA,NA,NA,25.60000000000,12.80000000000,12.80000000000,Washington,14,Southeast Region,67,Washington,131,1128.18911634000,435.59625311900
188,362,2550663,GHCND:US1WIWS0001,HARTFORD 3.8 E WI US,310.90000000000,43.32410000000,-88.31340000000,3/14/2007,73,2007,3,0,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,14,Southeast Region,67,Washington,131,1128.18911634000,435.59625311900
189,66,663132,GHCND:USC00473453,HARTFORD 2 W WI US,298.70000000000,43.33111000000,-88.41139000000,1/9/2003,9,2003,1,0,0,0,NA,11.10000000000,-6.10000000000,1.70000000000,Washington,14,Southeast Region,67,Washington,131,1128.18911634000,435.59625311900
190,618,2817083,GHCND:USC00477796,SLINGER WWTP WI US,313.60000000000,43.33389000000,-88.29778000000,8/7/2012,220,2012,8,0,NA,NA,NA,26.70000000000,12.20000000000,20.00000000000,Washington,14,Southeast Region,67,Washington,131,1128.18911634000,435.59625311900
191,385,2607982,GHCND:USC00473820,HUSTISFORD WWTP WI US,263.30000000000,43.34000000000,-88.60050000000,6/5/2011,156,2011,6,0,NA,NA,NA,30.00000000000,13.30000000000,18.90000000000,Dodge,16,South Central Region,14,Dodge,27,2348.41224847000,906.72703840000
192,517,2749383,GHCND:US1WIOZ0007,GRAFTON 1.8 NW WI US,251.50000000000,43.33410000000,-87.98240000000,3/16/2010,75,2010,3,0,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,15,Southeast Region,46,Ozaukee,89,609.37414880100,235.28067424200
193,365,2555133,GHCND:US1WIWS0006,JACKSON 1.9 N WI US,286.80000000000,43.34880000000,-88.15980000000,11/1/2008,306,2008,11,0,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,14,Southeast Region,67,Washington,131,1128.18911634000,435.59625311900
